rc,mu,nu,sigma,epsilon,j,i
16.02411,4,1,5.34137,0.0712,35,26
17.41177,3,1,5.80392,0.25757,36,26
16.79013,3,1,5.59671,0.1518,37,26
16.61435,3,1,5.53811,0.0816,38,26
16.49164,4,1,5.49721,0.0759,39,26
18.28762,4,1,6.09587,0.0339,40,26
17.47056,3,1,5.82352,0.09655,27,27
18.00179,3,1,6.0006,0.10039,28,27
18.83573,3,1,6.27858,0.30105,29,27
18.13428,4,1,6.04476,0.06959,30,27
18.53638,4,1,6.1788,0.07278,31,27
18.15205,3,1,6.05068,0.18422,32,27
19.33511,3,1,6.44504,0.38537,33,27
18.67961,3,1,6.22654,0.28511,34,27
16.85429,3,1,5.6181,0.10254,35,27
18.24195,7,1,6.08065,0.00557,36,27
17.62031,3,1,5.87344,0.18033,37,27
17.44452,3,1,5.81484,0.11259,38,27
17.32182,3,1,5.77394,0.10708,39,27
19.1178,4,1,6.3726,0.06654,40,27
18.53301,3,1,6.17767,0.10423,28,28
19.36695,3,1,6.45565,0.30615,29,28
18.66551,4,1,6.22184,0.07477,30,28
19.06761,4,1,6.35587,0.07796,31,28
18.68328,3,1,6.22776,0.1894,32,28
19.86633,3,1,6.62211,0.39049,33,28
19.21083,3,1,6.40361,0.29021,34,28
17.38551,3,1,5.79517,0.10772,35,28
18.77318,7,1,6.25773,0.00561,36,28
18.15153,3,1,6.05051,0.18552,37,28
17.97575,3,1,5.99192,0.11777,38,28
17.85305,3,1,5.95101,0.11226,39,28
19.64903,4,1,6.54968,0.07172,40,28
20.20089,2,1,6.73363,0.47053,29,29
19.49945,3,1,6.49981,0.25109,30,29
19.90155,3,1,6.63385,0.25434,31,29
19.51722,3,1,6.50574,0.36796,32,29
20.70027,2,1,6.90009,0.57778,33,29
20.04477,2,1,6.68159,0.45401,34,29
18.21945,3,1,6.07315,0.28469,35,29
19.60712,2,1,6.53571,0.4681,36,29
18.98547,3,1,6.32849,0.36401,37,29
18.80969,3,1,6.26989,0.29493,38,29
18.68698,3,1,6.22899,0.28931,39,29
20.48297,3,1,6.82766,0.24798,40,29
18.798,6,1,6.266,0.0103,30,30
19.20011,6,1,6.40003,0.0136,31,30
18.81577,3,1,6.27192,0.12906,32,30
19.99883,3,1,6.66628,0.33822,33,30
19.34333,3,1,6.44778,0.23457,34,30
17.51801,4,1,5.83934,0.04444,35,30
18.90567,3,1,6.30189,0.23082,36,30
18.28402,3,1,6.09468,0.12504,37,30
18.10824,4,1,6.03608,0.05485,38,30
17.98554,4,1,5.99518,0.04914,39,30
19.78152,7,1,6.59384,0.00714,40,30
19.60221,6,1,6.53407,0.01691,31,31
19.21788,3,1,6.40596,0.13236,32,31
20.40093,3,1,6.80031,0.34148,33,31
19.74543,3,1,6.58181,0.23782,34,31
17.92011,4,1,5.97337,0.04774,35,31
19.30777,3,1,6.43593,0.23412,36,31
18.68613,3,1,6.22871,0.12834,37,31
18.51035,4,1,6.17012,0.05815,38,31
18.38764,4,1,6.12922,0.05244,39,31
20.18362,6,1,6.72788,0.01044,40,31
18.83355,3,1,6.27785,0.24782,32,32
20.0166,2,1,6.6722,0.45555,33,32
19.3611,3,1,6.4537,0.35144,34,32
17.53578,3,1,5.84526,0.1632,35,32
18.92345,3,1,6.30781,0.34958,36,32
18.3018,3,1,6.1006,0.2438,37,32
18.12601,3,1,6.042,0.17361,38,32
18.00332,3,1,6.0011,0.1679,39,32
19.7993,3,1,6.59976,0.1259,40,32
21.19965,2,1,7.06655,0.58519,33,33
20.54415,2,1,6.84805,0.56126,34,33
18.71883,3,1,6.23961,0.37195,35,33
20.1065,2,1,6.70217,0.55609,36,33
19.48485,2,1,6.49495,0.45158,37,33
19.30907,3,1,6.43636,0.38223,38,33
19.18637,3,1,6.39546,0.37659,39,33
20.98235,3,1,6.99412,0.33509,40,33
19.88865,2,1,6.62955,0.43749,34,34
18.06333,3,1,6.02111,0.26817,35,34
19.45099,2,1,6.48367,0.45158,36,34
18.82935,3,1,6.27645,0.34749,37,34
18.65357,3,1,6.21786,0.27841,38,34
18.53086,3,1,6.17695,0.2728,39,34
20.32684,3,1,6.77562,0.23146,40,34
16.23801,4,1,5.41267,0.07858,35,35
17.62568,3,1,5.87523,0.26496,36,35
17.00403,3,1,5.66801,0.15918,37,35
16.82825,3,1,5.60942,0.08899,38,35
16.70555,3,1,5.56851,0.08328,39,35
18.50153,4,1,6.16718,0.04128,40,35
19.01334,4,1,6.33778,0.03667,36,36
18.3917,3,1,6.13057,0.34556,37,36
18.21591,3,1,6.07197,0.27537,38,36
18.09321,3,1,6.03107,0.26966,39,36
19.88919,3,1,6.62973,0.22766,40,36
17.77005,3,1,5.92335,0.23978,37,37
17.59427,3,1,5.86476,0.16959,38,37
17.47156,3,1,5.82386,0.16388,39,37
19.26755,3,1,6.42252,0.12188,40,37
17.41848,3,1,5.80616,0.0994,38,38
17.29578,3,1,5.76526,0.09369,39,38
19.09176,4,1,6.36392,0.05169,40,38
17.17308,3,1,5.72436,0.08798,39,39
18.96906,4,1,6.32302,0.04598,40,39
20.76504,12,1,6.92168,0.00398,40,40
